"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"vaccine","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","BNT","BNT","BNT","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"day","14"," 6"," 1"," 1","10","10","26"," 3","51"," 1"," 3"," 7"," 1"," 3"," 7"," 1","10","10","26","26","51"," 7","14","28"
"week","2","1","1","1","2","2","4","1","7","1","1","1","1","1","1","1","2","2","4","4","7","1","2","4"
"dose","3","1","2","3","1","1","1","1","2","3","1","1","2","2","2","3","0","0","0","0","0","3","3","3"
"infection","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0"
"type","IN","RNA","RNA","RNA","I","I","I","I","RNA","RNA","VV","VV","VV","RNA","RNA","RNA","I","I","I","I","I","SU","SU","SU"
"disease_vac","V","V","V","V","I","I","I","I","I","V","V","V","V","V","V","V","I","I","I","I","I","V","V","V"
"ANTIVIRAL AND INTERFERON","0.7977048",NA,"8.9777236","8.0171300","2.1090236","4.0091761",NA,NA,NA,"6.8978951","5.8917809",NA,"7.7438305","6.2836363","0.9375487","0.9047915","1.1580169",NA,NA,NA,"0.7350966","2.4076037","0.6699334","1.1868236"
"ARPP",NA,NA,"4.8347364","2.4842493",NA,NA,NA,NA,NA,"4.4474258","3.8995492",NA,"2.3546543","1.6654875","0.7252762",NA,NA,NA,NA,NA,"0.9575379","2.4587734","0.6699334","1.0103287"
"B CELLS",NA,NA,NA,NA,"0.7591526",NA,NA,NA,"1.6781607",NA,NA,NA,NA,NA,"0.7433583",NA,NA,NA,NA,NA,NA,"2.4587734","0.6699334","0.9837369"
"CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,"1.7261777","2.2127649",NA,NA,NA,"0.7712541","1.2684740",NA,NA,NA,"0.7252762",NA,"2.4146887","1.3932083","2.9612263","1.3829318",NA,NA,NA,"1.0103287"
"COMPLEMENT IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"0.8051379",NA,"1.3086340",NA,"0.9056990",NA,NA,"0.9158143","0.8955632",NA,NA,NA,NA,NA,NA,NA,NA,"1.0103287"
"DENDRITIC CELLS",NA,NA,NA,NA,NA,NA,NA,NA,"0.9544938",NA,NA,NA,"0.8333695",NA,"0.9036448",NA,NA,NA,NA,NA,NA,"2.4587734",NA,NA
"EOSINOPHIL","0.7977048",NA,"1.4821693","1.9010313","0.8898632",NA,NA,NA,NA,"1.5179614",NA,"2.1204714","1.5025091","1.3833864","0.9375487",NA,NA,"1.5739739",NA,NA,NA,"1.0648738",NA,"1.0103287"
"HUMORAL ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9036448",NA,NA,NA,NA,"1.0940179",NA,"1.5315195",NA,NA
"INFLAMMATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7644942",NA,NA,NA,NA,"0.9036448",NA,NA,NA,NA,NA,NA,"2.1763001","0.6699334",NA
"MAST CELL",NA,NA,NA,NA,"0.8245536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MONOCYTES","0.7977048",NA,"1.2050137","1.4073631",NA,"2.1333593",NA,NA,"1.5119354","1.2547308",NA,NA,"1.8211651","1.6654875","0.9036448",NA,NA,NA,"2.8293595","2.7454445","1.6680136","2.1763001","0.6699334","1.1868236"
"NEUTROPHIL","0.7977048",NA,"1.3330306","1.9397056","1.8422611","3.4269711","1.2535258","0.6342432","1.7647385","2.5487038","1.6686439",NA,"1.2739737","1.0644278","1.2118397",NA,"1.1634447","1.3932083","5.2934288","1.5969343","2.6452645","1.7118765","0.6699334","2.4313920"
"NK CELL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9328426",NA,NA,NA,NA,NA,NA,NA,"1.6567309",NA,NA,"2.2394964",NA,"0.7832303"
"T CELLS",NA,NA,NA,NA,"1.7261777","2.3806409",NA,NA,NA,NA,"1.4817421",NA,NA,NA,"0.7252762",NA,"2.4146887","1.3932083","2.9447421","1.0940179",NA,NA,NA,"1.0103287"
